"","aic","r2","adjr2"
"735",2496.204,0.2930366,0.002451799
"736",2467.029,0.4283276,0.08099737
"737",2456.39,0.4335412,0.09316703
"738",2422.602,0.6679066,0.2934688
"739",2472.318,0.3493053,0.04189384
"740",2473.671,0.5013495,0.1157935
"741",2477.85,0.4725349,0.09013883
"742",2465.58,0.4910115,0.1146077
"743",2474.448,0.6106013,0.1892043
"744",2465.482,0.5897333,0.1861496
"745",2469.967,0.4536759,0.09191581
"746",2452.86,0.5672318,0.1786616
"747",2463.254,0.488046,0.1148186
"748",2453.606,0.5316665,0.1596982
"749",2497.622,0.5412967,0.1177896
"750",2451.18,0.5483183,0.1601983
"751",2467.867,0.6272449,0.2158386
"752",2479.238,0.5190889,0.1190466
"753",2458.024,0.6165363,0.2197087
"754",2497.186,0.2756875,-0.0007055656
"755",2469.657,0.5808424,0.1731628
"756",2490.407,0.2416616,-0.00460636
"757",2497.627,0.3185285,0.008150524
"758",2481.589,0.4110807,0.05730979
"759",2477.149,0.3954176,0.05419495
"760",2480.59,0.4331478,0.06363885
"761",2463.196,0.6095885,0.2055007
"762",2450.882,0.5061542,0.1392223
"763",2462.878,0.47795,0.1071016
"764",2472.31,0.3887455,0.04832935
"765",2462.195,0.4791856,0.1084702
"766",2453.826,0.5045333,0.1407909
"767",2449.184,0.5667449,0.1848717
"768",2469.466,0.4658699,0.09390721
"769",2442.057,0.4647725,0.1244976
"770",2481.204,0.4773577,0.08806087
"771",2451.486,0.5692923,0.1883468
"772",2455.627,0.5348739,0.1498252
"773",2471.07,0.4242612,0.07346181
"774",2425.827,0.6710904,0.2957768
"775",2473.895,0.5279289,0.1265378
"776",2456.665,0.5614766,0.1672816
"777",2489.813,0.4147008,0.05321643
"778",2467.132,0.4953202,0.1123491
"779",2446.752,0.5265233,0.1567646
"780",2472.679,0.4746752,0.09986178
"781",2491.951,0.2584714,0.0006483057
"782",2458.381,0.4931267,0.1170363
"783",2479.163,0.5545735,0.1433938
"784",2455.386,0.5052892,0.1347208
"785",2428.464,0.6238694,0.2508723
"786",2469.48,0.4353297,0.07694413
"787",2488.043,0.2426197,0.003299115
"788",2457.943,0.5043323,0.1335983
"789",2462.045,0.4794581,0.1051643
"790",2477.06,0.4202702,0.06226967
"791",2480.502,0.4786305,0.08949797
"792",2460.567,0.4252663,0.07442665
"793",2454.652,0.564531,0.1714642
"794",2484.406,0.417554,0.05967792
"795",2462.336,0.5496388,0.1584181
"796",2457.625,0.5569467,0.1681698
"797",2476.991,0.4555241,0.0828755
"798",2498.593,0.5168219,0.09335815
"799",2464.519,0.4713077,0.0924861
"800",2484.679,0.4250434,0.05939986
"801",2477.813,0.5181291,0.1251974
"802",2452.017,0.6218354,0.2211369
"803",2447.364,0.6120633,0.2230146
"804",2465.328,0.3823058,0.06110064
"805",2469.741,0.4763821,0.09809655
"806",2468.222,0.3717205,0.04867902
"807",2465.606,0.4467292,0.08476387
"808",2432.752,0.6182271,0.2422768
"809",2488.742,0.3206195,0.01718589
"810",2460.41,0.5557371,0.1665468
"811",2475.287,0.6067441,0.1904273
"812",2450.022,0.5773858,0.1893154
"813",2495.092,0.352068,0.01786789
"814",2491.292,0.4735555,0.06845663
"815",2446.228,0.5371271,0.1596753
"816",2482.857,0.3960309,0.0547391
"817",2471.984,0.3851821,0.05263889
"818",2487.428,0.3990193,0.04998076
"819",2488.101,0.3849319,0.04127662
"820",2476.919,0.5701385,0.1614355
"821",2478.291,0.4967928,0.1067459
"822",2451.682,0.5689983,0.1810922
"823",2455.676,0.5865973,0.195537
"824",2489.888,0.5044272,0.09333146
"825",2469.831,0.4762197,0.1051909
"826",2457.026,0.5875291,0.193432
"827",2466.856,0.5848999,0.1790651
"828",2490.104,0.5500022,0.1334121
"829",2486.999,0.5904216,0.1727767
"830",2454.127,0.4756814,0.1152999
"831",2462.68,0.5793513,0.1710041
"832",2478.105,0.4261873,0.06051771
